year	audience
2018	26500000
2017	32900000
2016	34300000
2015	37260000
2014	43740000
2013	40376000
2012	39460000
2011	37919000
2010	41699000
2009	36310000
2008	32006000
2007	40172000
2006	38939000
2005	42139000
2004	43531000
2003	33043000
2002	41782000
2001	42944000
2000	46333000
1999	45615000
1998	55249000
1997	40075000
1996	44867000
1995	48279000
1994	45083000
1993	45735000
1992	44406000
1991	42727000
1990	40375000
1989	42619000
1988	42227000
1987	37190000
1986	37757000
1985	38855000
1984	42051000
1983	53235000
1982	46245000
1981	39919000
1980	48978000
1979	46301000
1978	48501000
1977	39719000
1976	46751000
1975	48127000
1974	44712000